zip,Zipcode name,City,State,County Name,population
32233,"""ATLANTIC BEACH. FL""",ATLANTIC BEACH,FL,DUVAL,13513
32234,"""JACKSONVILLE. FL""",JACKSONVILLE,FL,DUVAL,949611
32235,"""JACKSONVILLE. FL""",JACKSONVILLE,FL,DUVAL,949611
32236,"""JACKSONVILLE. FL""",JACKSONVILLE,FL,DUVAL,949611
32237,"""JACKSONVILLE. FL""",JACKSONVILLE,FL,DUVAL,949611
32238,"""JACKSONVILLE. FL""",JACKSONVILLE,FL,DUVAL,949611
32239,"""JACKSONVILLE. FL""",JACKSONVILLE,FL,DUVAL,949611
32240,"""JACKSONVILLE BEACH. FL""",JACKSONVILLE BEACH,FL,DUVAL,23830
32241,"""JACKSONVILLE. FL""",JACKSONVILLE,FL,DUVAL,949611
32244,"""JACKSONVILLE. FL""",JACKSONVILLE,FL,DUVAL,949611
32245,"""JACKSONVILLE. FL""",JACKSONVILLE,FL,DUVAL,949611
32246,"""JACKSONVILLE. FL""",JACKSONVILLE,FL,DUVAL,949611
32247,"""JACKSONVILLE. FL""",JACKSONVILLE,FL,DUVAL,949611
32250,"""JACKSONVILLE BEACH. FL""",JACKSONVILLE BEACH,FL,DUVAL,23830
32254,"""JACKSONVILLE. FL""",JACKSONVILLE,FL,DUVAL,949611
32255,"""JACKSONVILLE. FL""",JACKSONVILLE,FL,DUVAL,949611
32256,"""JACKSONVILLE. FL""",JACKSONVILLE,FL,DUVAL,949611
32257,"""JACKSONVILLE. FL""",JACKSONVILLE,FL,DUVAL,949611
32258,"""JACKSONVILLE. FL""",JACKSONVILLE,FL,DUVAL,949611
32260,"""JACKSONVILLE. FL""",JACKSONVILLE,FL,SAINT JOHNS,949611
32266,"""NEPTUNE BEACH. FL""",NEPTUNE BEACH,FL,DUVAL,7217
32277,"""JACKSONVILLE. FL""",JACKSONVILLE,FL,DUVAL,949611
32301,"""TALLAHASSEE. FL""",TALLAHASSEE,FL,LEON,196169
32302,"""TALLAHASSEE. FL""",TALLAHASSEE,FL,LEON,196169
32303,"""TALLAHASSEE. FL""",TALLAHASSEE,FL,LEON,196169
32304,"""TALLAHASSEE. FL""",TALLAHASSEE,FL,LEON,196169
32305,"""TALLAHASSEE. FL""",TALLAHASSEE,FL,LEON,196169
32306,"""TALLAHASSEE. FL""",TALLAHASSEE,FL,LEON,196169
32307,"""TALLAHASSEE. FL""",TALLAHASSEE,FL,LEON,196169
32308,"""TALLAHASSEE. FL""",TALLAHASSEE,FL,LEON,196169
32309,"""TALLAHASSEE. FL""",TALLAHASSEE,FL,LEON,196169
32310,"""TALLAHASSEE. FL""",TALLAHASSEE,FL,LEON,196169
32311,"""TALLAHASSEE. FL""",TALLAHASSEE,FL,LEON,196169
32312,"""TALLAHASSEE. FL""",TALLAHASSEE,FL,LEON,196169
32313,"""TALLAHASSEE. FL""",TALLAHASSEE,FL,LEON,196169
32314,"""TALLAHASSEE. FL""",TALLAHASSEE,FL,LEON,196169
32315,"""TALLAHASSEE. FL""",TALLAHASSEE,FL,LEON,196169
32316,"""TALLAHASSEE. FL""",TALLAHASSEE,FL,LEON,196169
32317,"""TALLAHASSEE. FL""",TALLAHASSEE,FL,LEON,196169
32318,"""TALLAHASSEE. FL""",TALLAHASSEE,FL,LEON,196169
32320,"""APALACHICOLA. FL""",APALACHICOLA,FL,FRANKLIN,2341
32321,"""BRISTOL. FL""",BRISTOL,FL,LIBERTY,918
32322,"""CARRABELLE. FL""",CARRABELLE,FL,FRANKLIN,2606
32324,"""CHATTAHOOCHEE. FL""",CHATTAHOOCHEE,FL,GADSDEN,2955
32329,"""APALACHICOLA. FL""",APALACHICOLA,FL,FRANKLIN,2341
32332,"""GRETNA. FL""",GRETNA,FL,GADSDEN,1357
32340,"""MADISON. FL""",MADISON,FL,MADISON,2912
32341,"""MADISON. FL""",MADISON,FL,MADISON,2912
32343,"""MIDWAY. FL""",MIDWAY,FL,GADSDEN,3537
32344,"""MONTICELLO. FL""",MONTICELLO,FL,JEFFERSON,2589
32345,"""MONTICELLO. FL""",MONTICELLO,FL,JEFFERSON,2589
32347,"""PERRY. FL""",PERRY,FL,TAYLOR,6898
32348,"""PERRY. FL""",PERRY,FL,TAYLOR,6898
32351,"""QUINCY. FL""",QUINCY,FL,GADSDEN,7970
32352,"""QUINCY. FL""",QUINCY,FL,GADSDEN,7970
32353,"""QUINCY. FL""",QUINCY,FL,GADSDEN,7970
32358,"""SOPCHOPPY. FL""",SOPCHOPPY,FL,WAKULLA,426
32399,"""TALLAHASSEE. FL""",TALLAHASSEE,FL,LEON,196169
32401,"""PANAMA CITY. FL""",PANAMA CITY,FL,BAY,32939
32402,"""PANAMA CITY. FL""",PANAMA CITY,FL,BAY,32939
32403,"""PANAMA CITY. FL""",PANAMA CITY,FL,BAY,32939
32404,"""PANAMA CITY. FL""",PANAMA CITY,FL,BAY,32939
32405,"""PANAMA CITY. FL""",PANAMA CITY,FL,BAY,32939
32406,"""PANAMA CITY. FL""",PANAMA CITY,FL,BAY,32939
32407,"""PANAMA CITY BEACH. FL""",PANAMA CITY BEACH,FL,BAY,18094
32408,"""PANAMA CITY. FL""",PANAMA CITY,FL,BAY,32939
32409,"""PANAMA CITY. FL""",PANAMA CITY,FL,BAY,32939
32410,"""MEXICO BEACH. FL""",MEXICO BEACH,FL,BAY,916
32411,"""PANAMA CITY. FL""",PANAMA CITY,FL,BAY,32939
32412,"""PANAMA CITY. FL""",PANAMA CITY,FL,BAY,32939
32413,"""PANAMA CITY BEACH. FL""",PANAMA CITY BEACH,FL,BAY,18094
32417,"""PANAMA CITY. FL""",PANAMA CITY,FL,BAY,32939
32424,"""BLOUNTSTOWN. FL""",BLOUNTSTOWN,FL,CALHOUN,2266
32425,"""BONIFAY. FL""",BONIFAY,FL,HOLMES,2759
32428,"""CHIPLEY. FL""",CHIPLEY,FL,WASHINGTON,3660
32433,"""DEFUNIAK SPRINGS. FL""",DEFUNIAK SPRINGS,FL,WALTON,5919
32435,"""DEFUNIAK SPRINGS. FL""",DEFUNIAK SPRINGS,FL,WALTON,5919
32439,"""FREEPORT. FL""",FREEPORT,FL,WALTON,5861
32440,"""GRACEVILLE. FL""",GRACEVILLE,FL,JACKSON,2153
32444,"""LYNN HAVEN. FL""",LYNN HAVEN,FL,BAY,18695
32446,"""MARIANNA. FL""",MARIANNA,FL,JACKSON,6245
32447,"""MARIANNA. FL""",MARIANNA,FL,JACKSON,6245
32448,"""MARIANNA. FL""",MARIANNA,FL,JACKSON,6245
32449,"""WEWAHITCHKA. FL""",WEWAHITCHKA,FL,CALHOUN,2074
32462,"""VERNON. FL""",VERNON,FL,WASHINGTON,732
32465,"""WEWAHITCHKA. FL""",WEWAHITCHKA,FL,GULF,2074
32501,"""PENSACOLA. FL""",PENSACOLA,FL,ESCAMBIA,54312
32502,"""PENSACOLA. FL""",PENSACOLA,FL,ESCAMBIA,54312
32503,"""PENSACOLA. FL""",PENSACOLA,FL,ESCAMBIA,54312
32504,"""PENSACOLA. FL""",PENSACOLA,FL,ESCAMBIA,54312
32505,"""PENSACOLA. FL""",PENSACOLA,FL,ESCAMBIA,54312
32506,"""PENSACOLA. FL""",PENSACOLA,FL,ESCAMBIA,54312
32507,"""PENSACOLA. FL""",PENSACOLA,FL,ESCAMBIA,54312
32508,"""PENSACOLA. FL""",PENSACOLA,FL,ESCAMBIA,54312
32509,"""PENSACOLA. FL""",PENSACOLA,FL,ESCAMBIA,54312
32511,"""PENSACOLA. FL""",PENSACOLA,FL,ESCAMBIA,54312
32512,"""PENSACOLA. FL""",PENSACOLA,FL,ESCAMBIA,54312
32513,"""PENSACOLA. FL""",PENSACOLA,FL,ESCAMBIA,54312
32514,"""PENSACOLA. FL""",PENSACOLA,FL,ESCAMBIA,54312
32516,"""PENSACOLA. FL""",PENSACOLA,FL,ESCAMBIA,54312
32520,"""PENSACOLA. FL""",PENSACOLA,FL,ESCAMBIA,54312
32521,"""PENSACOLA. FL""",PENSACOLA,FL,ESCAMBIA,54312
32522,"""PENSACOLA. FL""",PENSACOLA,FL,ESCAMBIA,54312
32523,"""PENSACOLA. FL""",PENSACOLA,FL,ESCAMBIA,54312
